Mode,Crash In Disadvantaged Community,MasterFile,CollisionDate,CollisionTime,CollisionDayWeekCode,RoadwayName_HouseBusinessNumber_,RoadwayName_RoadwayName_,RoadwayName_Direction_,RoadwayName_RoadwaySuffix_,RoadwayfromReport,CurrentRoadwayNumber,RSEUniqueGIS,RoadwayIdentifier,ParkingLotIndicator,Latitude,Longitude,MannerofCollisionCode,YR,KABCO,KTC_RT,KTC_MP,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Intersection,Roadway Departure,Median Cross-over,In City Limits?
Bicyclist,Non DAC,72227099,20180801,1413,3,NULL,DIXIE,N,AVE,US0031W,US0031W,047 US-31W,US0031W,N,37.75102,-85.8949,9,2018,O,047-US-0031W -000,21.127,0,0,0,1,0,1,0,0,0,0,0,0,0,Y
Bicyclist,DAC,72296127,20181220,1749,4,NULL,DIXIE,W,AVE,US0031W,US0031W,047 US-31W,US0031W,N,37.70044,-85.86719,9,2018,O,047-US-0031W -000,17.334,0,0,0,1,0,1,1,0,0,0,0,0,0,Y
Bicyclist,DAC,72381469,20190718,1716,4,NULL,MILES                                   ,N ,ST   ,KY0251  ,KY0251  ,047 KY-251     ,KY0251                                         ,N,37.70829,-85.85425,9,2019,C,047-KY-0251  -000,0.954,0,0,1,0,0,1,1,0,0,0,1,0,0,Y
Bicyclist,DAC,72437327,20191115,1441,5,NULL,MANTLE                                  ,N ,AVE  ,NULL,NULL,NULL,NULL,N,37.70473,-85.86234,9,2019,O,047-CS-1025  -000,0.388,0,0,0,0,0,1,0,0,0,0,1,0,0,Y
Bicyclist,DAC,72481251,20200221,1733,5,NULL,VILLAGE                                 ,NULL,DR   ,NULL,NULL,047 CS-1550    ,CS1550                                         ,N,37.70218,-85.86901,9,2020,B,047-CS-1550  -000,0.005,0,0,0,0,0,1,0,1,0,0,0,0,0,Y
Bicyclist,DAC,72663343,20210824,1610,2,NULL,WOODLAND                                ,NULL,DR   ,NULL,NULL,047 CS-1193    ,CS1193                                         ,N,37.71166,-85.879,9,2021,O,047-CS-1193  -000,1.17,0,0,0,0,0,1,1,0,0,0,0,0,0,Y
Bicyclist,DAC,72732563,20220216,842,3,NULL,FRENCH                                  ,NULL,ST   ,NULL,NULL,047 CS-1390    ,CS1390                                         ,N,37.70458,-85.84678,9,2022,A,047-CS-1390  -000,0.634,0,0,0,0,0,1,1,0,0,0,1,0,0,Y
Bicyclist,DAC,72788305,20220711,1317,1,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.72872,-85.88279,9,2022,O,047-KY-3005  -000,6.623,0,0,0,0,0,1,0,0,0,0,0,0,0,Y
Bicyclist,DAC,72802360,20220907,1003,3,NULL,NEW GLENDALE                            ,NULL,RD   ,KY1136  ,KY1136  ,047 KY-1136    ,KY1136                                         ,N,37.68329,-85.85038,9,2022,A,047-KY-1136  -000,10.652,0,0,0,0,0,1,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72135183,20180101,1925,1,NULL,MULBERRY,S,ST,US0062,US0062,047 US-62,US0062,N,37.68707,-85.86939,9,2018,O,047-US-0062  -000,17.236,0,0,1,0,0,0,0,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72135949,20180103,1140,3,NULL,MILES,S,ST,NULL,NULL,047 CS-1126,CS1126,N,37.69498,-85.86388,5,2018,O,047-CS-1126  -000,0.08,0,0,1,0,0,0,0,0,0,0,0,0,0,Y
